node_id,node,label,alexa_rank,daily_pageviews_per_visitor,daily_time_on_site,total_sites_linking_in,bounce_rate
14157,us4trump.com,3,2694402.0,2.0,120.0,5.0,0.586
14158,bankingoncolorado.org,3,4857471.0,10.0,521.0,8.0,0.6517999999999999
14159,population.org.il,3,2796701.0,2.0,153.0,6.0,0.6464000000000001
14160,thegeographist.wordpress.com,3,1662010.0,1.0,120.33333333333331,29.0,0.7200000000000001
14161,radicalchristianwoman.com,3,1493744.0,1.0,143.0,15.0,0.7303999999999999
14162,gyrostudiostechnology.com,3,4645050.0,2.0,134.93333333333334,1.0,0.6674
14163,reptilesofaz.org,3,3845965.0,1.0,191.33333333333331,102.0,0.673
14164,medellinliving.com,3,637570.0,1.6,81.0,213.0,0.818
14165,garbanzo.io,3,265035.0,1.8,136.0,31.0,0.427
14166,zulajuice.com,3,1469588.0,2.0,46.0,5.0,0.7329000000000001
14167,delchev-lawfirm.com,3,3787459.0,1.0,100.05,48.0,0.5339333333333334
14168,ukcities.co.uk,3,1027529.0,1.0,116.0,62.0,0.864
14169,libertyonetv.com,3,4695040.233333333,1.9133333333333333,110.2,6.0,0.5288
14170,alt-right-news.blogspot.com,3,4049200.0,1.5,19.0,9.0,0.5602
14171,jeffgissing.com,3,7664091.0,1.0,188.3,8.0,0.7163999999999999
14172,renewamerica.com,0,602671.0,1.4,114.0,1331.0,0.722
14173,cafth.org,3,6691414.0,2.0,262.0,6.0,0.43499999999999994
14174,dcddv.org,3,3774456.0,1.0,151.16666666666666,2.0,0.7525333333333333
14175,bpnegocios.com.mx,3,128738.0,3.1,311.0,69.0,0.137
14176,va-rea.org,3,6050471.0,1.0,142.2,3.0,0.5112666666666666
14177,newfloridamajority.org,3,3479317.0,2.0,201.8,10.0,0.5998
14178,durysguns.com,3,686824.0,1.5,81.0,40.0,0.792
14179,chargebeeportal.com,3,101639.0,2.8,135.0,70.0,0.448
14180,smbceo.com,3,131530.0,2.4,109.0,355.0,0.699
14181,cbdoilreview.org,3,178293.0,3.0,193.0,764.0,0.513
14182,samaritanministries.org,3,90123.0,5.3,244.0,214.0,0.122
14183,immaculee.com,3,772240.0,1.2,163.0,54.0,0.828
14184,henchal.com,3,680927.0,1.3,92.0,5.0,0.742
14185,opportunitynetwork.org,3,2329270.0,2.0,200.5,18.0,0.669
14186,matthewselectric.com,3,6155326.0,1.0,197.23333333333335,3.0,0.4368
14187,strasbourgconsortium.org,3,3949206.5,1.25,75.0,36.0,1.0
14188,shiftproject.org,3,1593577.0,2.0,165.0,38.0,0.583
14189,yorkcity.org,3,2596394.0,2.0,181.0,192.0,0.344
14190,davidbray.eu,3,3772596.5,2.2,190.3,18.0,0.5899
14191,ruffchamp.com,3,7767244.0,1.0,207.6,1.0,0.7771000000000001
14192,thekendalljones.com,3,4442262.75,2.8600000000000003,208.8,5.0,0.4943000000000001
14193,wca-ngo.org,3,2577506.6,1.6,107.95,31.0,0.5774
14194,systrom.com,3,370190.0,1.2,51.0,78.0,0.827
14195,homstery.com,3,4562934.6,2.04,178.2,2.0,0.3802
14196,aviewfromtheright.com,3,8701723.0,3.0,169.2,78.0,0.6837000000000001
14197,bd-journal.com,3,11289.0,4.4,412.0,366.0,0.388
14198,alleycat.org,3,346436.0,1.7,122.0,975.0,0.732
14199,farmerwu.wordpress.com,3,2939540.0,1.0,138.83333333333331,4.0,0.6342333333333334
14200,verbacompare.com,3,232733.0,1.8,110.0,83.0,0.522
14201,getkansasbenefits.gov,3,58348.0,5.9,395.0,88.0,0.191
14202,u-s-news.com,3,2214157.0,1.0,225.0,2.0,0.429
14203,rapquotes.net,3,7441806.533333334,1.8,102.2,3.0,0.6106
14204,halstedfinancial.com,3,1488914.0,3.0,289.0,2.0,0.35
14205,thegunzone.com,3,114219.0,1.2,100.0,343.0,0.819
14206,flipfloppeople.com,3,3787459.0,1.0,100.05,57.0,0.5339333333333334
