source,target,weight
spectator.org,amgreatness.com,164.0
theoswatch.com,theoswatch.com,0.5
thesternfacts.com,bluedotdaily.com,39.0
youngcons.com,youngcons.com,0.5
timesofindia.indiatimes.com,indianexpress.com,14900.0
irena.org,iea.org,4400.0
knoxreport.com,knoxreport.com,0.5
historynewsnetwork.org,commentarymagazine.com,3300.0
notallowedto.com,now8news.com,90.0
ntknetwork.com,theamericanmirror.com,736.0
bipartisanpolicy.org,cis.org,1700.0
standard.net,sltrib.com,9300.0
conservativedailypost.com,ilovemyfreedom.org,95.0
chicagotribune.com,cbsnews.com,47700.0
dailywire.com,breitbart.com,36000.0
rollcall.com,washingtonexaminer.com,8700.0
loser.com,loser.com,0.5
theblacksphere.net,steadfastandloyal.com,55.0
cnsnews.com,freebeacon.com,4200.0
thepeoplescube.com,frontpagemag.com,6200.0
brexitcentral.com,westmonster.com,142.0
orlandosentinel.com,sun-sentinel.com,10800.0
france24-tv.com,france24-tv.com,0.5
ctvnews.ca,thestar.com,20100.0
vivaliberty.com,vivaliberty.com,0.5
londonwebnews.com,londonwebnews.com,0.5
drudgereport.com,drudge.com,628.0
unz.com,vdare.com,2100.0
financialpost.com,thestar.com,20100.0
westernjournalism.com,westernjournalism.com,0.5
tribunist.com,o4anews.com,43.0
opendemocracy.net,newstatesman.com,9100.0
freewestmedia.com,voiceofeurope.com,72.0
politicaldig.com,washingtonpress.com,110.0
timesofindia.indiatimes.com,ndtv.com,15200.0
freebeacon.com,theamericanmirror.com,722.0
clarionproject.org,jihadwatch.org,3700.0
democraticmoms.com,ifyouonlynews.com,209.0
frontpagemag.com,jihadwatch.org,3700.0
speakgov.com,speakgov.com,0.5
ced.org,pgpf.org,533.0
stocksnewsdaily.com,stocksnewsdaily.com,0.5
thedailybeast.com,thehill.com,17100.0
nypost.com,cbsnews.com,47700.0
sonsoflibertymedia.com,thewashingtonstandard.com,215.0
middleeastmonitor.com,al-monitor.com,3300.0
trumpservativenews.info,trumpservativenews.info,0.5
nypost.com,foxnews.com,55800.0
opednews.com,truthdig.com,5000.0
themoderatevoice.com,newmoderate.com,34.0
onenewsnow.com,conservativefiringline.com,201.0
alternet.org,rawstory.com,10500.0
thehardtimes.net,theonion.com,18000.0
townhall.com,freebeacon.com,4200.0
indianexpress.com,hindustantimes.com,13700.0
observeronline.news,observeronline.news,0.5
liberalamerica.org,americannewsx.com,81.0
ocweekly.com,ocregister.com,10300.0
timesofisrael.com,jpost.com,14900.0
theodysseyonline.com,elitedaily.com,4000.0
cbsnews.com,cnn.com,153500.0
therealnews.com,mintpressnews.com,1800.0
epi.org,americanprogress.org,4800.0
aclu.org,scotusblog.com,4200.0
americanprogress.org,cbpp.org,3100.0
americanthinker.com,townhall.com,9400.0
lifezette.com,bizpacreview.com,4000.0
